run,tag,step,value,wall_time
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2129920,8225.669921875,1767089400.0414095
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2146304,8222.4697265625,1767089473.2506697
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2162688,8296.16015625,1767089537.5690591
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2179072,8358.1201171875,1767089599.5642197
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2195456,8374.2900390625,1767089663.8598642
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2211840,8432.9599609375,1767089727.1360354
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2228224,8483.1796875,1767089791.300933
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2244608,8442.73046875,1767089855.9465299
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2260992,8400.9296875,1767089927.1602054
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2277376,8369.75,1767089995.6840699
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2293760,8318.6396484375,1767090067.26028
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2310144,8293.6396484375,1767090138.69514
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2326528,8336.2197265625,1767090205.3426328
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2342912,8306.849609375,1767090274.3671498
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2359296,8231.7197265625,1767090342.6671567
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2375680,8173.0,1767090409.2413275
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2392064,8144.18994140625,1767090471.7219985
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2408448,8238.400390625,1767090536.0881517
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2424832,8167.43017578125,1767090600.3216345
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2441216,8131.66015625,1767090663.9242926
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2457600,8122.56982421875,1767090731.1727386
ppo_pong_diff3_8envs_5000000timesteps_2,rollout/ep_len_mean,2473984,8131.9501953125,1767090799.7376747
